1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,34. CHEMICAL
2021,08810RCHMN1CHRI,1.10E+11,RICHMOND FOUNDRY LLC,1 CHRIS CT,DAYTON,MIDDLESEX,NJ,8810,Copper
2021,08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,Polycyclic aromatic compounds
2021,08065CLLHNBROAD,1.10E+11,CALLAHAN CHEMICAL CO,BROAD ST & FILMORE AVE,PALMYRA,BURLINGTON,NJ,8065,Ethylene glycol
2021,07503CRWNR91ILL,1.10E+11,CROWN ROLL LEAF INC.,91 ILLINOIS AVE,PATERSON,PASSAIC,NJ,7503,Toluene
2021,07036CTGPT4801S,1.10E+11,CITGO PETROLEUM CORP,4801 S WOOD AVE,LINDEN,UNION,NJ,7036,Polycyclic aromatic compounds
2021,07105CWCND185FO,1.10E+11,CWC INDUSTRIES INC,185 FOUNDRY ST,NEWARK,ESSEX,NJ,7105,Toluene
2021,07728FRSTB250HA,1.10E+11,PRESTONE PRODUCTS CORP,250 HALLS MILL RD,FREEHOLD,MONMOUTH,NJ,7728,Ethylene glycol
2021,08065CLLHNBROAD,1.10E+11,CALLAHAN CHEMICAL CO,BROAD ST & FILMORE AVE,PALMYRA,BURLINGTON,NJ,8065,Certain glycol ethers
2021,08876GBSNT100AS,1.10E+11,RATHGIBSON NORTH BRANCH,100 ASPEN HILL RD,NORTH BRANCH,SOMERSET,NJ,8876,Manganese
2021,08701FLXBR1969R,1.10E+11,FLEXABAR CORP,1969 RUTGERS UNIVERSITY BLVD,LAKEWOOD,OCEAN,NJ,8701,Ethylene glycol
2021,08862WTCCR1000C,1.10E+11,LANXESS CORP,1000 CONVERY BLVD,PERTH AMBOY,MIDDLESEX,NJ,8861,N-Methyl-2-pyrrolidone
2021,07032WNSCRNEWAR,1.10E+11,OWENS CORNING ROOFING & ASPHALT LLC,1249 NEWARK TURNPIKE,KEARNY,HUDSON,NJ,7032,"Benzo[g,h,i]perylene"
2021,08066JHNSN2001A,1.10E+11,JOHNSON MATTHEY,2001 NOLTE DR,WEST DEPTFORD,GLOUCESTER,NJ,8066,Ammonia
2021,07114GJCHM37037,1.10E+11,DOREMUS TERMINAL LLC,128 DOREMUS AVE,NEWARK,ESSEX,NJ,7105,Toluene
2021,0751WDVNCD1TAFT,1.10E+11,ADVANCED BIOTECH,10 TAFT RD,TOTOWA,PASSAIC,NJ,7512,Acetaldehyde
2021,07036CTGPT4801S,1.10E+11,CITGO PETROLEUM CORP,4801 S WOOD AVE,LINDEN,UNION,NJ,7036,n-Hexane
